Cluster,GeneSymbol
Late_Enterocytes_Progenitors,2200002D01Rik
Late_Enterocytes_Progenitors,Slc25a24
Late_Enterocytes_Progenitors,Ugt2a3
Late_Enterocytes_Progenitors,Cideb
Late_Enterocytes_Progenitors,0610005C13Rik
Late_Enterocytes_Progenitors,Mical2
Late_Enterocytes_Progenitors,Capg
Late_Enterocytes_Progenitors,Coro2a
Late_Enterocytes_Progenitors,Npc1l1
Late_Enterocytes_Progenitors,Tubal3
Late_Enterocytes_Progenitors,Slc28a3
Late_Enterocytes_Progenitors,Sult1b1
Late_Enterocytes_Progenitors,Mogat2
Late_Enterocytes_Progenitors,S100g
Late_Enterocytes_Progenitors,Tmem253
Late_Enterocytes_Progenitors,Il18
Late_Enterocytes_Progenitors,Ces2e
Late_Enterocytes_Progenitors,Abcg5
Late_Enterocytes_Progenitors,Mylk
Late_Enterocytes_Progenitors,Dhrs11
Late_Enterocytes_Progenitors,Sdcbp2
Late_Enterocytes_Progenitors,Ugt2b5
Late_Enterocytes_Progenitors,Akr1c19
Late_Enterocytes_Progenitors,Reg3b
Late_Enterocytes_Progenitors,Tmem139
Late_Enterocytes_Progenitors,Nat8
Late_Enterocytes_Progenitors,Cst6
Late_Enterocytes_Progenitors,Gna11
Late_Enterocytes_Progenitors,Cyp2c68
Late_Enterocytes_Progenitors,Ccl20
Late_Enterocytes_Progenitors,Smim24
Late_Enterocytes_Progenitors,Hsd17b6
Late_Enterocytes_Progenitors,Anpep
Late_Enterocytes_Progenitors,Casp6
Late_Enterocytes_Progenitors,Mpp1
Late_Enterocytes_Progenitors,Rbp2
Late_Enterocytes_Progenitors,Btnl1
Late_Enterocytes_Progenitors,Vstm5
Late_Enterocytes_Progenitors,Anxa2
